Hour,Heating Load (kW)
2554,32.14985262986539
2555,27.536054381291233
2556,24.610217141856563
2557,20.131218545382925
2558,17.696367478772434
2559,18.074725882340616
2560,17.55112724742371
2561,16.964721664601413
2562,17.564466002597324
2563,20.755331060352866
2564,25.93637004291631
2565,29.98183900595219
2566,33.002688002603755
2567,35.5879105431813
2568,37.263204474986736
2569,40.722284115257665
2570,41.141470621392784
2571,42.84206697266891
2572,42.96142454634572
2573,43.486404268194775
2574,44.14520351010504
2575,42.49095047481743
2576,39.1845745218297
2577,32.635439656551846
2578,21.258494604817518
2579,17.558870569487
2580,14.23712968404741
2581,9.918431355590231
2582,7.969538785295155
2583,7.396481194259393
2584,6.53604325566066
2585,6.691065721575886
2586,8.437611535585415
2587,12.69042201108965
2588,17.63878308917166
2589,21.993839195735738
2590,24.917209647718746
2591,25.84547410669182
2592,28.466794007915453
2593,34.095211306296804
2594,37.19851897043668
2595,39.40882895799646
2596,39.99515349427928
2597,42.793604570001584
2598,44.070961058990115
2599,42.17145143379913
2600,33.52860778311446
2601,24.780253077201
2602,16.197435553414337
2603,11.837652774914707
2604,7.688914513106001
2605,3.0142419841030117
2606,0.095855204817748
2607,0.095855204817748
2608,0.095855204817748
2609,0.095855204817748
2610,0.095855204817748
2611,4.52929254006614
2612,11.49749830937617
2613,17.04572271651578
2614,22.094114062954706
2615,24.5380184934672
2616,27.087567428306624
2617,28.772506863094357
2618,26.069524788832123
2619,31.645991478200482
2620,33.229292165602665
2621,35.823084234234514
2622,37.25951724271518
2623,35.36967860818996
2624,27.739797852646507
2625,19.32575953971753
2626,7.797095636402884
2627,4.517342294320292
2628,0.095855204817748
2629,0.095855204817748
2630,0.095855204817748
2631,0.095855204817748
2632,4.557578314121753
2633,13.59194401069082
2634,18.43853389642513
2635,21.078579302632555
2636,23.547162544378835
2637,25.866619485180852
2638,29.88485418553798
2639,31.981917349611937
2640,34.315744385493275
2641,37.28108374099983
2642,37.61532649727346
2643,38.87562500449445
2644,40.3221933231547
2645,41.23132066329257
2646,42.05591375493867
2647,41.42057028798911
2648,38.86034085248233
2649,35.926714601588365
2650,30.441535377633336
2651,27.640027801097496
2652,26.62250038972701
2653,25.23137300969972
2654,24.549389007880865
2655,22.488141663544695
2656,21.62832802800949
2657,21.870128475254695
2658,21.92597708437688
2659,24.420160756602225
2660,26.841665886535562
2661,30.575168973845024
2662,34.75555149124809
2663,35.7387455873247
2664,37.32172582849322
2665,38.76495983441037
2666,39.357148933824796
2667,42.229556376679916
2668,43.017360140954885
2669,43.086485751799415
2670,42.894118187702816
2671,41.817153542881535
2672,38.750505724945256
2673,35.78957128543514
2674,29.355084690201497
2675,25.105095285388252
2676,22.842483137941027
2677,19.753329408739678
2678,18.163781224526396
2679,16.90600299785059
2680,14.233421023604258
2681,13.344628717520985
2682,14.217432897656524
2683,18.656340984887862
2684,22.38933716080263
2685,25.654476948111743
2686,26.475824243122272
2687,27.407579066712408
2688,29.280027342751726
2689,32.357560250390236
2690,34.41587298309982
2691,35.06514199813804
2692,36.04648709250318
2693,37.84455171280998
2694,39.57253248993571
2695,38.63604005957155
2696,33.98202338968198
2697,26.21859855529907
2698,18.36852558290554
2699,13.563881623320706
2700,10.58193783534637
2701,6.20853834316763
2702,3.2530925551781125
2703,0.095855204817748
2704,0.095855204817748
2705,0.095855204817748
2706,0.095855204817748
2707,6.382021691018903
2708,12.522859079632422
2709,17.2723347492109
2710,22.718915197199127
2711,22.338735605544404
2712,23.98426274725116
2713,25.60686668508756
2714,27.164506666189194
2715,29.63213907658324
2716,30.67551426430091
2717,31.567023215818544
2718,32.353196233963
2719,32.66057581288367
2720,31.48039994662542
2721,29.51984376921924
2722,26.68933850217693
2723,25.044785664268076
2724,24.101691373541854
2725,22.124138347678407
2726,22.092797208107932
2727,20.330389209677485
2728,19.72594762872201
2729,19.809020492679636
2730,20.870419056570505
2731,22.459474918559543
2732,23.605783046970085
2733,24.608332656343745
2734,25.67206106009126
2735,25.985573662040075
2736,26.323197261904937
2737,27.192350147265834
2738,26.593622024425052
2739,28.592009741400183
2740,29.07315499221087
2741,28.66288312607258
2742,28.186340897922225
2743,27.398227831473147
2744,26.402006048045102
2745,25.801004596809506
2746,25.098926051041335
2747,24.769665114505713
2748,25.660658646228757
2749,25.454156262088187
2750,24.540008467228052
2751,22.893154796675
2752,22.597874021394077
2753,22.704829987493625
2754,22.653330722148734
2755,23.55086494382756
2756,24.186064526942555
2757,24.12569260958629
2758,24.75354533136048
2759,25.218501943148684
2760,25.887500726287193
2761,27.119728697159513
2762,27.947088764693852
2763,28.158063173009232
2764,28.638888458217707
2765,29.133360866487525
2766,28.922848413597684
2767,28.183898969103513
2768,26.834297470080696
2769,25.34853770404862
2770,23.319532814385692
2771,19.795161831071777
2772,17.468267768228273
2773,15.717071893257362
2774,12.744145184541827
2775,10.969467016187512
2776,11.246349379722114
2777,9.79094940864786
2778,8.410166266669247
2779,13.787047721794602
2780,15.998021393523416
2781,17.176446908152386
2782,20.672024582783717
2783,21.473713953004104
2784,22.325055771713373
2785,24.444943792465615
2786,25.252271846757132
2787,27.11156588610367
2788,27.176463625455984
2789,27.362689842712165
2790,27.7352250957142
2791,27.70223855626202
2792,26.993381495228295
2793,27.18414526238086
2794,26.782491917414543
2795,26.872393729030062
2796,26.56090400278668
2797,26.657865892571596
2798,26.369590451494634
2799,24.304099094479852
2800,22.929172077717308
2801,23.46742899590203
2802,23.471515611488964
2803,24.785089329584416
2804,24.491524216053268
2805,24.336499604903306
2806,24.60595376825114
2807,25.358509191735173
2808,25.94994399475671
2809,27.431331237272264
2810,28.044100717911142
2811,30.38608603789904
2812,31.836723417442418
2813,32.20626778160566
2814,33.11756693352521
2815,33.16746127489409
2816,33.00504982886377
2817,31.57042269386027
2818,28.603503554616957
2819,26.081550687250594
2820,25.293302145763196
2821,23.828231738631377
2822,24.31400804811272
2823,21.613482846486388
